G18486.GTEX-POMQ-2026-SM-2S1OD.1,2,0,0,43,1,1,0,9,0,0,469,2,2,0,0.529706199058,0,0,3.38065052694,-0.0,-0.0,0
G18490.GTEX-PSDG-0526-SM-2S1OH.1,1,0,0,41,0,0,0,2,0,0,526,0,0,0,-0.0,0,0,3.15851927434,0,0,0
G18491.GTEX-PLZ4-0926-SM-2S1OI.1,0,0,1,43,1,1,0,0,0,2,479,2,2,0,0,0,-0.0,3.29710005074,-0.0,-0.0,0
G18584.GTEX-REY6-0626-SM-2TF4G.1,1,0,1,29,0,0,0,2,0,2,218,0,0,0,-0.0,0,-0.0,3.12184274383,0,0,0
G18585.GTEX-RM2N-1426-SM-2TF4H.1,1,0,0,32,0,0,1,5,0,0,324,0,0,5,-0.0,0,0,2.70395559152,0,0,-0.0
G18586.GTEX-RNOR-2326-SM-2TF4I.1,1,0,1,20,0,0,0,2,0,2,186,0,0,0,-0.0,0,-0.0,2.50973445099,0,0,0
G18588.GTEX-R55C-1926-SM-2TF4K.1,0,0,1,29,1,0,0,0,0,2,217,4,0,0,0,0,-0.0,3.02120663553,-0.0,0,0
G18589.GTEX-R55F-0011-R6A-SM-2TF4L.1,0,0,0,23,0,0,0,0,0,0,269,0,0,0,0,0,0,2.80339316103,0,0,0
G18590.GTEX-REY6-0726-SM-2TF4M.1,0,0,0,24,0,0,1,0,0,0,164,0,0,3,0,0,0,2.80020419558,0,0,-0.0
G18591.GTEX-RM2N-0526-SM-2TF4N.1,2,0,0,26,0,0,0,6,0,0,171,0,0,0,0.636514168295,0,0,3.0344959499,0,0,0
G18592.GTEX-RNOR-0526-SM-2TF4O.1,0,0,0,26,0,0,0,0,0,0,232,0,0,0,0,0,0,2.92911026257,0,0,0
G18595.GTEX-R55F-1726-SM-2TF4R.1,3,0,0,34,0,1,0,27,0,0,207,0,3,0,0.727387629176,0,0,3.24590060415,0,-0.0,0
G18596.GTEX-REY6-0826-SM-2TF4S.1,0,0,0,29,1,0,0,0,0,0,225,2,0,0,0,0,0,3.01309825875,-0.0,0,0
G18597.GTEX-RM2N-0426-SM-2TF4T.1,6,3,2,33,1,1,0,78,78,78,447,2,2,0,0.817176719573,0.320152001372,0.119246926396,2.04224633179,-0.0,-0.0,0
