sample,fileName,individual,tissue,n.raw.reads,CPM,igRPM,immune.diversity
GTEX-RTLS-0006-SM-2TF58,G18611.GTEX-RTLS-0006-SM-2TF58.1,GTEX-RTLS,Whole Blood,101493333.0,1.5863110929660769,5.5373095294840695,1.62857943364
GTEX-RM2N-1826-SM-2TF5B,G18614.GTEX-RM2N-1826-SM-2TF5B.1,GTEX-RM2N,Artery - Tibial,97946666.0,1.0005445208313675,0.0,0.0
GTEX-RTLS-0226-SM-2TF5E,G18617.GTEX-RTLS-0226-SM-2TF5E.1,GTEX-RTLS,Adipose - Subcutaneous,99213333.0,0.9978497547300422,3.4874344963292385,0.860851390631
GTEX-RTLS-0426-SM-2TF5K,G18623.GTEX-RTLS-0426-SM-2TF5K.1,GTEX-RTLS,Artery - Tibial,112826666.0,1.9676199596290473,0.6735996258189532,1.09861228867
GTEX-REY6-0526-SM-2TF5M,G18625.GTEX-REY6-0526-SM-2TF5M.1,GTEX-REY6,Thyroid,87653333.0,1.1522665087932253,0.49056890968424444,1.85078538145
GTEX-RNOR-2226-SM-2TF5O,G18627.GTEX-RNOR-2226-SM-2TF5O.1,GTEX-RNOR,Brain - Cerebellum,92173333.0,1.7467091051161185,0.021698249752995263,0.69314718056
GTEX-RTLS-0826-SM-2TF5Q,G18629.GTEX-RTLS-0826-SM-2TF5Q.1,GTEX-RTLS,Heart - Left Ventricle,107373333.0,1.061716133930573,0.18626598840887243,0.0
GTEX-RU72-0326-SM-2TF5T,G18632.GTEX-RU72-0326-SM-2TF5T.1,GTEX-RU72,Heart - Left Ventricle,94880000.0,4.363406408094435,1.0012647554806071,1.51541251789
GTEX-RTLS-0526-SM-2TF64,G18642.GTEX-RTLS-0526-SM-2TF64.1,GTEX-RTLS,Muscle - Skeletal,93400000.0,5.182012847965739,0.11777301927194861,0.156798418769
GTEX-RU72-0011-R9A-SM-2TF67,G18645.GTEX-RU72-0011-R9A-SM-2TF67.1,GTEX-RU72,Brain - Spinal cord (cervical c-1),87533333.0,3.41584159716619,0.14851485205070394,1.58109375017
GTEX-RUSQ-1826-SM-2TF6E,G18652.GTEX-RUSQ-1826-SM-2TF6E.1,GTEX-RUSQ,Nerve - Tibial,93373333.0,4.594459533751462,1.8099386042051213,1.38723559754
GTEX-RU72-1226-SM-2TF6N,G18661.GTEX-RU72-1226-SM-2TF6N.1,GTEX-RU72,Artery - Tibial,97226666.0,5.512890877076871,0.0925671975628579,1.754105331
GTEX-RU72-0011-R2A-SM-2TF6O,G18662.GTEX-RU72-0011-R2A-SM-2TF6O.1,GTEX-RU72,Brain - Substantia nigra,63106666.0,3.8981618835639327,1.1409254293357853,0.651950837378
GTEX-RVPV-0006-SM-2TF6Q,G18664.GTEX-RVPV-0006-SM-2TF6Q.1,GTEX-RVPV,Whole Blood,86653333.0,3.762117263279417,0.36928758412558693,1.22946076943
GTEX-R55E-0006-SM-2TC5G,G18680.GTEX-R55E-0006-SM-2TC5G.2,GTEX-R55E,Whole Blood,74266666.0,4.1337522812724625,1.8177738044683465,2.40149876346
GTEX-OIZG-0226-SM-2TC5L,G18685.GTEX-OIZG-0226-SM-2TC5L.2,GTEX-OIZG,Thyroid,87693333.0,3.056104618580297,0.4789417685834794,1.08219553004
GTEX-R55E-0011-R6A-SM-2TC5T,G18693.GTEX-R55E-0011-R6A-SM-2TC5T.2,GTEX-R55E,Brain - Nucleus accumbens (basal ganglia),91133333.0,3.8844184487359854,2.1506949603170993,0.673011667009
GTEX-R55E-0126-SM-2TC5Y,G18698.GTEX-R55E-0126-SM-2TC5Y.2,GTEX-R55E,Skin - Sun Exposed (Lower leg),100640000.0,4.92845786963434,0.2484101748807631,1.10637514749
GTEX-QXCU-0326-SM-2TC63,G18702.GTEX-QXCU-0326-SM-2TC63.2,GTEX-QXCU,Thyroid,110226666.0,3.302286218109872,0.5443328930950339,1.09861228867
GTEX-R55E-0011-R8A-SM-2TC66,G18705.GTEX-R55E-0011-R8A-SM-2TC66.2,GTEX-R55E,Brain - Hypothalamus,106106666.0,2.9781352285633025,0.21676300714226568,0.0
GTEX-R55G-2126-SM-2TC67,G18706.GTEX-R55G-2126-SM-2TC67.2,GTEX-R55G,Nerve - Tibial,106666666.0,4.434375027714844,1.72500001078125,2.21611194124
GTEX-RN64-0126-SM-2TC68,G18707.GTEX-RN64-0126-SM-2TC68.2,GTEX-RN64,Skin - Sun Exposed (Lower leg),101546666.0,4.204963262900232,0.9650735357475941,1.69402346447
GTEX-QXCU-0626-SM-2TC69,G18708.GTEX-QXCU-0626-SM-2TC69.2,GTEX-QXCU,Lung,101893333.0,4.004187398600456,18.332897207317775,2.39732772639
GTEX-R55E-0526-SM-2TC6B,G18710.GTEX-R55E-0526-SM-2TC6B.2,GTEX-R55E,Muscle - Skeletal,113640000.0,3.5902851108764517,0.017599436818021823,0.0
GTEX-R55E-2526-SM-2TC6H,G18716.GTEX-R55E-2526-SM-2TC6H.2,GTEX-R55E,Brain - Cerebellum,111026666.0,3.7018134003951806,0.0720547620514877,1.25722997197
GTEX-R55E-0011-R11A-SM-2TC6I,G18717.GTEX-R55E-0011-R11A-SM-2TC6I.2,GTEX-R55E,Brain - Cerebellar Hemisphere,105280000.0,4.24582066869301,0.056990881458966566,2.04673853269
GTEX-QXCU-1726-SM-2TC6L,G18720.GTEX-QXCU-1726-SM-2TC6L.2,GTEX-QXCU,Muscle - Skeletal,117026666.0,3.4009342793718487,0.06836048802757484,1.06094424079
GTEX-NPJ8-0011-R2a-SM-2TC6M,G18721.GTEX-NPJ8-0011-R2a-SM-2TC6M.2,GTEX-NPJ8,Brain - Substantia nigra,102253333.0,2.6307210934630367,0.2444908079426614,0.673011667009
GTEX-R55G-0006-SM-2TC6O,G18723.GTEX-R55G-0006-SM-2TC6O.2,GTEX-R55G,Whole Blood,104480000.0,3.091500765696784,0.32542113323124044,2.15838963011
GTEX-RWS6-0226-SM-2XCA9,G19303.GTEX-RWS6-0226-SM-2XCA9.1,GTEX-RWS6,Lung,88680000.0,2.728912945421741,16.271989174560215,2.46720482434
GTEX-S341-2026-SM-2XCAA,G19304.GTEX-S341-2026-SM-2XCAA.1,GTEX-S341,Artery - Tibial,42733333.0,3.954758221175961,0.8190327676991636,1.41079247126
